date,מדד בסיס,מדד פתיחה,locking,מדד גבוה,מדד נמוך,שווי שוק כולל (אלפי ש''ח)
30/12/2010,1330.8,1326.36,1326.44,1330.79,1321.26,533163835
02/01/2011,1326.44,1325.63,1327.24,1335.45,1323.84,532376871
03/01/2011,1327.24,1332.64,1335.03,1339.93,1331.46,535056634
04/01/2011,1335.03,1334.68,1333.25,1336.65,1331.02,534621932
05/01/2011,1333.25,1330.84,1332.34,1333.09,1322.33,535899844
06/01/2011,1332.34,1336.65,1335.99,1339.75,1334.84,538582220
09/01/2011,1335.99,1338.93,1333.66,1339.4,1330.51,543090227
10/01/2011,1333.66,1330.44,1322.7,1331.56,1321.21,538875337
11/01/2011,1322.7,1328.23,1335.14,1335.65,1327.6,542762100
12/01/2011,1335.14,1336.1,1337.09,1342.2,1335.23,541392656
13/01/2011,1337.09,1339.32,1335.82,1339.83,1332.87,542869247
16/01/2011,1335.82,1339.59,1338.22,1342.11,1333.22,542709725
17/01/2011,1338.22,1333.7,1334.42,1338.33,1332.41,540925829
18/01/2011,1334.42,1337.13,1339.52,1346.17,1336.85,544018421
19/01/2011,1339.52,1339.44,1340.31,1343.42,1336.98,544775303
20/01/2011,1340.31,1333.35,1337.56,1337.56,1331.97,543110970
23/01/2011,1337.56,1336.86,1336.09,1338.77,1333.81,541393623
24/01/2011,1336.09,1339.44,1328.75,1340.75,1326.26,539079319
25/01/2011,1328.75,1333.44,1324.64,1334.06,1321.66,537818561
26/01/2011,1324.64,1329.1,1329.31,1332.73,1325.21,541089960
27/01/2011,1329.31,1340.77,1332.49,1341.52,1331.27,547259810
30/01/2011,1332.49,1304.57,1282.56,1304.57,1282.56,528578697
31/01/2011,1282.56,1288.22,1292.75,1294.74,1278.59,532766670
01/02/2011,1292.75,1291.71,1289.71,1295.36,1282.65,533384938
02/02/2011,1289.71,1304.44,1300.68,1309.21,1298.84,539564334
03/02/2011,1300.68,1295.38,1299.12,1299.12,1292.29,537055053
06/02/2011,1299.12,1311.16,1319.44,1319.59,1310.74,542179740
07/02/2011,1319.44,1318.11,1323.68,1327.14,1316.04,543711863
08/02/2011,1323.68,1324.05,1321.85,1328.29,1320.43,537080124
09/02/2011,1321.85,1320.63,1313.18,1321.95,1313.18,533765081
10/02/2011,1313.18,1310.93,1302.38,1311.58,1302.38,530312039
13/02/2011,1302.38,1316.54,1308.05,1318.95,1305.33,531250407
14/02/2011,1308.05,1312.2,1315.38,1315.39,1305.76,530655388
15/02/2011,1315.38,1313.33,1315.33,1319.32,1311.83,532084397
16/02/2011,1315.33,1316.86,1334.55,1338.29,1316.13,537715235
17/02/2011,1334.55,1333.74,1334.73,1344.46,1332.73,538572489
20/02/2011,1334.73,1337.37,1335,1338.14,1331.11,538068791
21/02/2011,1335,1333.54,1331.64,1336.23,1330.31,535931220
22/02/2011,1331.64,1318.55,1314.16,1319.57,1312.62,529577442
23/02/2011,1314.16,1312.33,1295.6,1317.36,1295.6,523086138
24/02/2011,1295.6,1281.99,1272.62,1289.66,1266.89,513817964
27/02/2011,1272.62,1292.3,1294.27,1295.58,1287.48,520319288
28/02/2011,1294.27,1293.95,1289.72,1294.06,1285.01,519481596
01/03/2011,1289.72,1293.35,1273.67,1296.43,1273.55,513459129
02/03/2011,1273.67,1258.43,1264.72,1265.86,1250.35,511283213
03/03/2011,1264.72,1272.5,1272.55,1277.94,1267.64,514674945
06/03/2011,1272.55,1266.08,1264.37,1272.22,1264.3,508562576
07/03/2011,1264.37,1261.15,1275.86,1276.91,1260.66,512005446
08/03/2011,1275.86,1275.3,1265.2,1277.3,1264.66,505545281
09/03/2011,1265.2,1274.18,1253.21,1275.1,1250.96,501469729
10/03/2011,1253.21,1249.05,1262.47,1264.68,1248.16,504262009
13/03/2011,1262.47,1260.33,1243.95,1260.78,1243.95,494829253
14/03/2011,1243.95,1245.37,1254.49,1256.28,1243.29,496527882
15/03/2011,1254.49,1229.37,1243.29,1243.29,1224.85,492038830
16/03/2011,1243.29,1255.57,1250.56,1257.73,1244.8,492779909
17/03/2011,1250.56,1245.44,1267.54,1267.54,1243.85,499514251
21/03/2011,1267.54,1278.85,1290.78,1295.41,1277.52,506800859
22/03/2011,1290.78,1291.9,1296.64,1300.8,1287.92,506942186
23/03/2011,1296.64,1291.51,1284.04,1303.45,1282.29,507036705
24/03/2011,1284.04,1296.6,1280.44,1302.38,1277.26,510559412
27/03/2011,1280.44,1296.9,1305.7,1305.7,1296.51,517335197
28/03/2011,1305.7,1307,1311.51,1311.51,1303.74,519892132
29/03/2011,1311.51,1303.48,1315.28,1315.28,1303.45,517155406
30/03/2011,1315.28,1326.59,1320.44,1327.42,1319.16,518363949
31/03/2011,1320.44,1323.8,1321.18,1324.62,1316.76,517924257
03/04/2011,1321.18,1329.58,1331.82,1331.82,1321.42,523468911
04/04/2011,1331.82,1330.4,1332.33,1334.14,1326.33,525572347
05/04/2011,1332.33,1328.36,1326.88,1330.19,1325.39,520899316
06/04/2011,1326.88,1332.06,1335.1,1337.04,1330.38,525485630
07/04/2011,1335.1,1333.63,1317.69,1335.84,1317.69,520501513
10/04/2011,1317.69,1324.69,1330.54,1330.89,1322.78,522936597
11/04/2011,1330.54,1333.62,1332.3,1335.55,1328.3,522572083
12/04/2011,1332.3,1325.18,1331.3,1331.3,1323.2,517559061
13/04/2011,1331.3,1335.46,1330.73,1336.88,1330.73,515627011
14/04/2011,1330.73,1333.64,1326.19,1334.54,1319.32,515923081
17/04/2011,1326.19,1334.3,1334.41,1334.42,1330.19,518692143
20/04/2011,1334.41,1336.7,1339.18,1339.18,1333.03,519699479
21/04/2011,1339.18,1343.39,1341.89,1345.11,1341.71,518963436
26/04/2011,1341.89,1336.19,1333.14,1338.5,1329.65,510740324
27/04/2011,1333.14,1337.67,1332.89,1338.85,1330.44,509427827
28/04/2011,1332.89,1337.09,1314.56,1337.86,1314.56,502528187
01/05/2011,1314.56,1312.27,1296.03,1313.69,1291.71,495742454
02/05/2011,1296.03,1304.55,1291.89,1305.4,1286.82,499548028
03/05/2011,1291.89,1288.2,1281.91,1289.88,1273.66,494559969
04/05/2011,1281.91,1284.26,1292.98,1292.98,1282.24,495532712
05/05/2011,1292.98,1294.7,1277.24,1295.4,1277.24,492905033
08/05/2011,1277.24,1280.64,1284.86,1294.22,1270.69,494691969
11/05/2011,1284.86,1296.76,1300.84,1301.98,1292.82,501211807
12/05/2011,1300.84,1292.82,1290.8,1295.06,1286.02,501658390
15/05/2011,1290.8,1280.97,1277.74,1281.79,1264.94,499390382
16/05/2011,1277.74,1281.62,1288.27,1288.27,1273.68,504734280
17/05/2011,1288.27,1283.56,1288.51,1293.7,1282.71,503964412
18/05/2011,1288.51,1298.51,1290.42,1300.12,1289.68,505100251
19/05/2011,1290.42,1294.73,1293.24,1297.46,1288.3,506127820
22/05/2011,1293.24,1284.7,1273.97,1286.36,1273.97,499151787
23/05/2011,1273.97,1264.34,1262.84,1267.42,1255.29,496365461
24/05/2011,1262.84,1265.09,1250.76,1268.02,1246.32,491569289
25/05/2011,1250.76,1241.12,1224.17,1247.14,1224.17,482401905
26/05/2011,1224.17,1235.19,1237.89,1242.97,1229.96,487745250
29/05/2011,1237.89,1252.18,1250.36,1254.23,1247.93,492946861
30/05/2011,1250.36,1251.4,1249.98,1253.14,1246,491153595
31/05/2011,1249.98,1258.45,1266.88,1266.88,1256.79,498834718
01/06/2011,1266.88,1262.9,1246.61,1263.34,1246.61,490565424
02/06/2011,1246.61,1229,1227.95,1242.81,1219.15,482615240
05/06/2011,1227.95,1225.78,1230.55,1231.77,1219.63,483094305
06/06/2011,1230.55,1229.58,1229.2,1233.4,1224.44,483791741
09/06/2011,1229.2,1219.29,1219.45,1224.79,1218.22,478907442
12/06/2011,1219.45,1205.02,1204.19,1206.97,1198.38,473074448
13/06/2011,1204.19,1209.78,1210.99,1211.77,1194.31,473657543
14/06/2011,1210.99,1218.95,1222.67,1222.67,1214.79,477591655
15/06/2011,1222.67,1217.65,1189.53,1221.81,1189.53,467771517
16/06/2011,1189.53,1189.07,1205.59,1207.35,1180.76,472868569
